"ID","person_age","person_income","person_home_ownership","person_emp_length","loan_intent","loan_grade","loan_amnt","loan_int_rate","loan_status","loan_percent_income","cb_person_default_on_file","cb_person_cred_hist_length"
40,23,71500,"RENT",3,"DEBTCONSOLIDATION","D",30000,NA,1,0.42,"N",4
51,24,78000,"RENT",4,"DEBTCONSOLIDATION","D",30000,NA,1,0.38,"Y",4
58,23,277000,"OWN",3,"PERSONAL","A",35000,NA,0,0.13,"N",4
60,24,12000,"OWN",2,"VENTURE","E",1750,NA,0,0.15,"Y",3
63,26,263000,"MORTGAGE",0,"EDUCATION","B",10000,NA,1,0.04,"N",4
71,25,12000,"OWN",0,"MEDICAL","C",3000,NA,1,0.25,"N",3
72,22,56950,"RENT",6,"MEDICAL","A",28000,NA,1,0.49,"N",2
85,26,12000,"OWN",0,"DEBTCONSOLIDATION","A",2700,NA,1,0.23,"N",4
86,22,108000,"RENT",6,"EDUCATION","B",28000,NA,1,0.26,"N",4
88,24,69000,"RENT",2,"HOMEIMPROVEMENT","A",27600,NA,1,0.4,"N",2
91,22,240000,"OWN",6,"PERSONAL","B",25000,NA,0,0.1,"N",2
94,24,73399,"RENT",0,"VENTURE","D",27000,NA,1,0.37,"N",3
106,22,12600,"MORTGAGE",NA,"PERSONAL","A",2000,5.42,1,0.16,"N",4
109,24,41000,"RENT",2,"HOMEIMPROVEMENT","D",25000,NA,1,0.61,"N",3
115,24,225000,"RENT",0,"MEDICAL","B",6000,NA,0,0.03,"N",4
121,22,12996,"OWN",1,"EDUCATION","B",4750,NA,1,0.37,"N",3
153,22,54996,"RENT",6,"EDUCATION","B",25000,NA,1,0.45,"N",4
154,24,55000,"RENT",4,"HOMEIMPROVEMENT","D",25000,NA,1,0.45,"Y",4
165,23,14000,"OWN",2,"DEBTCONSOLIDATION","D",4000,NA,1,0.29,"N",3
175,23,200000,"MORTGAGE",7,"EDUCATION","A",28000,NA,0,0.14,"N",2
188,24,200000,"MORTGAGE",8,"DEBTCONSOLIDATION","B",20000,NA,0,0.1,"N",3
189,24,60000,"RENT",2,"DEBTCONSOLIDATION","E",25000,NA,1,0.42,"Y",2
190,21,14400,"OWN",0,"HOMEIMPROVEMENT","B",3000,NA,1,0.21,"N",4
210,24,192000,"RENT",0,"MEDICAL","C",22000,NA,0,0.11,"Y",2
213,26,190300,"MORTGAGE",5,"PERSONAL","A",15000,NA,0,0.08,"N",3
